enota,okraj,id,naslov
VE 5000 - CELJE,VO 5001 - ŠENTJUR,22,"Gostišče Obrez Milan, Žegar 2, Prevorje"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,24,"GVD Javorje, Javorje bš, Gorica pri Slivnici"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,25,"GD Paridol, Paridol bš, Gorica pri Slivnici"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,26,"Krajnc, Voduce 22a, Gorica pri Slivnici"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,27,"Dom Gabernica, Slivnica bš, Gorica pri Slivnici"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,28,"GD Bukovje, Bukovje bš, Gorica pri Slivnici"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,32,"Trgov.Julija-Recko Milena, C.Kozj.odr. 104,Šentjur"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,39,"OŠ F. Malgaja, Ul. skl. Ipavcev 2, Šentjur"
VE 5000 - CELJE,VO 5002 - CELJE 1,3,"Sedež MČ Hudinja, Ul. F. žrtev 17/a, Celje"
VE 5000 - CELJE,VO 5002 - CELJE 1,24,"GD Prožinska vas, Prožinska vas 33, Štore"
VE 5000 - CELJE,VO 5002 - CELJE 1,29,"KD Štore, C. XIV. divizije 29, Štore"
VE 5000 - CELJE,VO 5002 - CELJE 1,44,"Večnamenska dvorana, POŠ Nova Cerkev 41"
VE 5000 - CELJE,VO 5003 - CELJE 2,4,"Franc Draksler, Tremerje 13, Tremerje"
VE 5000 - CELJE,VO 5003 - CELJE 2,15,"Don Boskov center, Don Boskov trg 1, Celje"
VE 5000 - CELJE,VO 5003 - CELJE 2,26,"Družbeni prostori, Ul.V.prekomor.brigade 4, Celje"
VE 5000 - CELJE,VO 5003 - CELJE 2,31,"Sedež MČ, Ulica bratov Vošnjakov 1, Celje"
VE 5000 - CELJE,VO 5003 - CELJE 2,32,"Sedež MČ, Ulica bratov Vošnjakov 1, Celje"
VE 5000 - CELJE,VO 5004 - ŽALEC 1,6,"OŠ Šempeter Volišče I, Šolska 2, Šempeter v S.d."
VE 5000 - CELJE,VO 5004 - ŽALEC 1,7,"OŠ Šempeter, Volišče II, Šolska 2, Šempeter v S.d"
VE 5000 - CELJE,VO 5005 - ŽALEC 2,10,"Vrtec Pongrac, Pongrac 95b"
VE 5000 - CELJE,VO 5006 - MOZIRJE,1,"KD Bočna, Bočna, Bočna 63"
VE 5000 - CELJE,VO 5006 - MOZIRJE,2,"Galerija Štekl, Gornji Grad, Attemsov trg 2"
VE 5000 - CELJE,VO 5006 - MOZIRJE,3,"KD Šmiklavž, Nova Štifta, Šmiklavž 3"
VE 5000 - CELJE,VO 5006 - MOZIRJE,4,"OŠ Ljubno, Ljubno ob Savinji, Cesta v Rastke 10"
VE 5000 - CELJE,VO 5006 - MOZIRJE,10,"Center Rinka, Sejna soba, Solčava 29"
