,enota,okraj,id,naslov
387,VE 1000 - KRANJ,VO 1004 - KRANJ 1,10,"Vodovodni stolp II,OŠ S.Jenka,Ul.XXXI.divizije 7a"
388,VE 1000 - KRANJ,VO 1004 - KRANJ 1,11,"Vodovodni stolp I,OŠ S.Jenka,Ul. XXXI.divizije 7a"
389,VE 1000 - KRANJ,VO 1004 - KRANJ 1,12,"Kokrica II, Kulturni dom Kokrica, C. na Brdo 30"
390,VE 1000 - KRANJ,VO 1004 - KRANJ 1,13,"Kokrica I, Kulturni dom Kokrica, C. na Brdo 30"
391,VE 1000 - KRANJ,VO 1004 - KRANJ 1,14,"Predoslje, Kulturni dom, Predoslje 34"
392,VE 1000 - KRANJ,VO 1004 - KRANJ 1,16,"Britof, Gasilski dom, Britof 316"
488,VE 1000 - KRANJ,VO 1005 - KRANJ 2,1,"Huje II,OŠ Jakob Aljaž, Ul.Tončka Dežmana 1,Kranj"
489,VE 1000 - KRANJ,VO 1005 - KRANJ 2,2,"Huje I, OŠ Stane Žagar, C. 1.maja 10 a, Kranj"
490,VE 1000 - KRANJ,VO 1005 - KRANJ 2,3,"Planina II,OŠ Stane Žagar, C. 1. maja 10 a, Kranj"
491,VE 1000 - KRANJ,VO 1005 - KRANJ 2,4,"Planina I, OŠ Stane Žagar, C. 1. maja 10 a, Kranj"
492,VE 1000 - KRANJ,VO 1005 - KRANJ 2,5,"Zlato polje I,OŠ F.Prešeren, Kidričeva c.49,Kranj"
493,VE 1000 - KRANJ,VO 1005 - KRANJ 2,6,"Zlato Polje II,OŠ F.Prešeren,Kidričeva c.49,Kranj"
494,VE 1000 - KRANJ,VO 1005 - KRANJ 2,7,"Struževo, Dom KS, Struževo 14, Kranj"
495,VE 1000 - KRANJ,VO 1005 - KRANJ 2,8,"Gorenja Sava, SSC, Gorenjesavska c.35 a, Kranj"
496,VE 1000 - KRANJ,VO 1005 - KRANJ 2,9,"Stražišče I,Šmartinski dom,Škofjeloška c.18,Kranj"
497,VE 1000 - KRANJ,VO 1005 - KRANJ 2,10,"Stražišče II,Šmartinski dom,Škofjeloška c.18,Kr."
498,VE 1000 - KRANJ,VO 1005 - KRANJ 2,11,"Orehek I, Osnovna šola, Zasavska c. 53 a, Kranj"
499,VE 1000 - KRANJ,VO 1005 - KRANJ 2,12,"Orehek II, Osnovna šola, Zasavska c. 53 a, Kranj"
500,VE 1000 - KRANJ,VO 1005 - KRANJ 2,13,"Breg ob Savi, GD, Breg ob Savi 34, Mavčiče"
501,VE 1000 - KRANJ,VO 1005 - KRANJ 2,14,"Mavčiče KS, Mavčiče 69, Mavčiče"
502,VE 1000 - KRANJ,VO 1005 - KRANJ 2,15,"Podreča, Krelj Thomas, Podreča 74, Mavčiče"
503,VE 1000 - KRANJ,VO 1005 - KRANJ 2,16,"Žabnica, Telovadnica, Žabnica 20, Žabnica"
504,VE 1000 - KRANJ,VO 1005 - KRANJ 2,17,"Bitnje II, GD, Zg. Bitnje 33, Žabnica"
505,VE 1000 - KRANJ,VO 1005 - KRANJ 2,18,"Zgornje Bitnje, GD, Zg. Bitnje 33, Žabnica"
506,VE 1000 - KRANJ,VO 1005 - KRANJ 2,19,"Pševo, DKS Jošt, Pševo 3, Kranj"
