,address,lat,lon
353,"Čakalnica na ŽP, Postaja 10",46.1465512,13.7595527
354,"Prostor KS, Idrija pri Bači 51",46.1385118,13.7791189
355,"Bivši ""Bača bar"",  Bača pri Modreju 30",46.1458511,13.7674423
356,"Bivša OŠ, Kanalski Lom 17a",46.1212882,13.7579233
357,"Garaža - bivši obrat, Tolminski Lom 11b",46.1267098,13.7452012
358,"Dom C. Kosmača, Slap ob Idrijci 28 a",46.1186792,13.805539
359,"Prostor KS, Dolenja Trebuša 70",46.0949645,13.8384794
360,"Izletniška kmetija Žerovc, Gorenja Trebuša 40b",46.026955,13.8438629
361,"Dvorana - telovadnica, Šentviška Gora 19",46.1170647,13.8693219
362,"Mlekarna, Prapetno Brdo 35",46.1105202,13.8490008
363,"Prostor KS, Pečine 30",46.121138,13.8280218
364,"Gasilski dom, Ponikve 26",46.1379641,13.8180766
365,"Prostor PGD Kneža, Kneža 78",46.1609525,13.8274863
366,"Tovarna Klavže- prostor KS, Klavže 21a",46.1598525,13.8110918
367,"Mlekarna, Logaršče 33",46.1528634,13.7952211
368,"Kotiček, Podmelec bš",46.1645585,13.8099845
369,"Dvorana KS, Grahovo ob Bači 47",46.1569055,13.8648841
370,"Prostor bivše trgovine, Koritnica 50",46.1640256,13.8728521
371,"Prostor KS, Rut 29",46.2058191,13.8901669
372,"Prostor KS, Hudajužna 22c",46.1742103,13.9138986
373,"Prostor KS, Stržišče 28",46.2136703,13.9282444
374,"Prostor LD, Podbrdo 39",46.211675,13.968073
375,"Gasilski dom, Podbrdo 8",46.2150417,13.9757427
376,"Stanovanjska skupina, Petrovo Brdo 5",46.2148452,13.998569
377,"Mlekarna, Bača pri Podbrdu 12",46.2233222,13.971918
378,"Dom krajanov (staro župnišče), Kred 36",46.2512242,13.5117979
379,"Ap. hiša ""Cviter"", Log Čezsoški 8",46.3104781,13.4897672
380,"OŠ Lucija I, Fazan 1, 6320 Portorož",45.5065226,13.6072514
381,"OŠ Lucija II,  Fazan 1, 6320 Portorož",45.5065226,13.6072514
382,"Center starejših občanov Lucija I, Seča 197B, 6320",45.4953021,13.6125623
383,"Center starejših občanov Lucija II, Seča 197B,6320",45.4953021,13.6125623
384,"Avditorij Portorož, Senčna pot 8A, 6320 Portorož",45.5146173,13.5968043
385,"Dom krajanov Beli Križ, Belokriška c.56, 6320",45.5194116,13.5833612
386,"Glasbena šola Piran, Levstikova ul. 8, 6330 Piran",45.5290384,13.5672852
387,"Palača Apollonio vhod iz Župančičeve ul bš, Piran",45.5284919,13.5684485
388,"KS Strunjan, Strunjan 28, 6320 Portorož",45.5268867,13.6151916
389,"OŠ Sečovlje, Sečovlje 78, 6333 Sečovlje",45.4655122,13.6779884
392,"KD B. Jakca, Padna 11, 6333 Sečovlje",45.4914128,13.6849902
393,"Dvorana Rdečega križa, Ul. ob starem zidovju 15a",45.5380488,13.6611163
394,"Palača Manzioli, Manziolijev trg 5",45.5384981,13.6582842
395,"Športna dvorana, Kraška  ul. 1a",45.601582,13.9407162
397,"Mestna knjižnica Izola, Ul.osvobodilne fronte 15",45.5470898,13.7305183
398,"OŠ Livade, Livade 7",45.5299056,13.6591806
399,"OŠ Livade - prizidek šole, Livade 7",45.5299056,13.6591806
400,"KS Jagodje - Dobrava, Jagodje 24a",45.52884,13.6381105
401,"Baredi - stara šola, Baredi 20",45.5174081,13.6833864
402,"Šared - vaški dom, Šared 27k",45.5118952,13.6548834
