Unnamed: 0,enota,okraj,id,naslov
5587,VE 5000 - CELJE,VO 5001 - ŠENTJUR,39,"OŠ F. Malgaja, Ul. skl. Ipavcev 2, Šentjur"
5685,VE 5000 - CELJE,VO 5002 - CELJE 1,3,"Sedež MČ Hudinja, Ul. F. žrtev 17/a, Celje"
5701,VE 5000 - CELJE,VO 5002 - CELJE 1,24,"GD Prožinska vas, Prožinska vas 33, Štore"
5705,VE 5000 - CELJE,VO 5002 - CELJE 1,29,"KD Štore, C. XIV. divizije 29, Štore"
5713,VE 5000 - CELJE,VO 5002 - CELJE 1,44,"Večnamenska dvorana, POŠ Nova Cerkev 41"
5820,VE 5000 - CELJE,VO 5003 - CELJE 2,4,"Franc Draksler, Tremerje 13, Tremerje"
5826,VE 5000 - CELJE,VO 5003 - CELJE 2,15,"Don Boskov center, Don Boskov trg 1, Celje"
5834,VE 5000 - CELJE,VO 5003 - CELJE 2,26,"Družbeni prostori, Ul.V.prekomor.brigade 4, Celje"
5837,VE 5000 - CELJE,VO 5003 - CELJE 2,31,"Sedež MČ, Ulica bratov Vošnjakov 1, Celje"
5838,VE 5000 - CELJE,VO 5003 - CELJE 2,32,"Sedež MČ, Ulica bratov Vošnjakov 1, Celje"
5939,VE 5000 - CELJE,VO 5004 - ŽALEC 1,6,"OŠ Šempeter Volišče I, Šolska 2, Šempeter v S.d."
5940,VE 5000 - CELJE,VO 5004 - ŽALEC 1,7,"OŠ Šempeter, Volišče II, Šolska 2, Šempeter v S.d"
6057,VE 5000 - CELJE,VO 5005 - ŽALEC 2,10,"Vrtec Pongrac, Pongrac 95b"
6181,VE 5000 - CELJE,VO 5006 - MOZIRJE,1,"KD Bočna, Bočna, Bočna 63"
6182,VE 5000 - CELJE,VO 5006 - MOZIRJE,2,"Galerija Štekl, Gornji Grad, Attemsov trg 2"
6183,VE 5000 - CELJE,VO 5006 - MOZIRJE,3,"KD Šmiklavž, Nova Štifta, Šmiklavž 3"
6184,VE 5000 - CELJE,VO 5006 - MOZIRJE,4,"OŠ Ljubno, Ljubno ob Savinji, Cesta v Rastke 10"
6190,VE 5000 - CELJE,VO 5006 - MOZIRJE,10,"Center Rinka, Sejna soba, Solčava 29"
6193,VE 5000 - CELJE,VO 5006 - MOZIRJE,13,"Upravni center Mozirje, Mozirje, Šmihelska c. 2"
6203,VE 5000 - CELJE,VO 5006 - MOZIRJE,23,"DK Nazarje, Nazarje, Savinjska c. 2"
6305,VE 5000 - CELJE,VO 5007 - VELENJE 1,8,"Prostori MČ LBZ, Cesta F. Foita 2"
6307,VE 5000 - CELJE,VO 5007 - VELENJE 1,11,"Selo, PE Jakopec, Kosovelova 16"
6420,VE 5000 - CELJE,VO 5008 - VELENJE 2,11,"KS Skorno-Florjan, Skorno pri Š. 55a"
6421,VE 5000 - CELJE,VO 5008 - VELENJE 2,12,"Gostišče Acman, Skorno pri Š. 62a"
6533,VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,3,"KD Šentilj, Šentilj pod Turjakom 45"
6547,VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,17,"OŠ Razbor, Zgornji Razbor 8"
6548,VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,18,"Praprotnik Rihter, Spodnji Razbor 48"
6550,VE 5000 - CELJE,VO 5009 - SLOVENJ GRADEC,20,"PGD Šmartno, Šmartno pri Slov. Gradcu 70"
6660,VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,10,"Pri Karničniku v Jazbini, Jazbina 13, Črna na K."
6665,VE 5000 - CELJE,VO 5010 - RAVNE NA KOROŠKEM,15,"Oš Koroški jeklarji 1, Javornik 35, Ravne na K."
