,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SMC-N,SMC-%,Zsi-N,Zsi-%,ZELENI-N,ZELENI-%,DD-N,DD-%,SNS-N,SNS-%,POVEŽIMO SE-N,POVEŽIMO SE-%,LMŠ-N,LMŠ-%,NSI-N,NSI-%,SDS_SLS-N,SDS_SLS-%,DOM-N,DOM-%,SD-N,SD-%,LEVICA-N,LEVICA-%,DESUS-N,DESUS-%,SAB-N,SAB-%
69,6.0,Novo mesto,8.0,Laško,15075,4342,0.288,4342,4259,83,1.0,139,0.0326,43,0.0101,70,0.0164,9,0.0021,207,0.0486,30,0.007,448,0.1052,439,0.1031,1032,0.2423,47,0.011,1304,0.3062,157,0.0369,218,0.0512,116,0.0272
70,6.0,Novo mesto,9.0,Hrastnik,7984,2061,0.2581,2061,2001,60,1.0,74,0.037,11,0.0055,24,0.012,9,0.0045,114,0.057,18,0.009,363,0.1814,84,0.042,243,0.1214,18,0.009,584,0.2919,102,0.051,284,0.1419,73,0.0365
71,6.0,Novo mesto,10.0,Trbovlje,13859,3754,0.2709,3751,3654,97,1.0,61,0.0167,23,0.0063,49,0.0134,15,0.0041,154,0.0421,48,0.0131,686,0.1877,195,0.0534,735,0.2011,40,0.0109,891,0.2438,251,0.0687,302,0.0826,204,0.0558
72,6.0,Novo mesto,11.0,Zagorje ob Savi,13909,4075,0.293,4075,3963,112,1.0,84,0.0212,23,0.0058,56,0.0141,13,0.0033,166,0.0419,44,0.0111,839,0.2117,384,0.0969,864,0.218,48,0.0121,808,0.2039,229,0.0578,249,0.0628,156,0.0394
73,7.0,Maribor,,,211777,52350,0.2472,52295,51249,1046,1.0,1278,0.0249,587,0.0115,877,0.0171,256,0.005,2481,0.0484,746,0.0146,7627,0.1488,4017,0.0784,15111,0.2949,644,0.0126,9508,0.1855,2941,0.0574,3304,0.0645,1872,0.0365
74,7.0,Maribor,1.0,Šmarje pri Jelšah,27752,6176,0.2225,6176,6022,154,1.0,138,0.0229,72,0.012,90,0.0149,35,0.0058,330,0.0548,51,0.0085,732,0.1216,791,0.1314,2104,0.3494,58,0.0096,862,0.1431,217,0.036,350,0.0581,192,0.0319
75,7.0,Maribor,2.0,Slovenska Bistrica,30307,7635,0.2519,7634,7480,154,1.0,100,0.0134,80,0.0107,116,0.0155,48,0.0064,490,0.0655,92,0.0123,1062,0.142,636,0.085,2545,0.3402,85,0.0114,1283,0.1715,276,0.0369,502,0.0671,165,0.0221
76,7.0,Maribor,3.0,Slovenske Konjice,19030,5166,0.2715,5166,5045,121,1.0,70,0.0139,60,0.0119,81,0.0161,24,0.0048,348,0.069,54,0.0107,669,0.1326,506,0.1003,1756,0.3481,49,0.0097,900,0.1784,153,0.0303,266,0.0527,109,0.0216
77,7.0,Maribor,4.0,Ruše,12945,3012,0.2327,3010,2955,55,1.0,102,0.0345,27,0.0091,61,0.0206,13,0.0044,147,0.0497,44,0.0149,490,0.1658,212,0.0717,760,0.2572,36,0.0122,536,0.1814,166,0.0562,250,0.0846,111,0.0376
78,7.0,Maribor,5.0,Maribor 1,18553,4825,0.2601,4787,4684,103,1.0,156,0.0333,46,0.0098,84,0.0179,27,0.0058,194,0.0414,89,0.019,780,0.1665,314,0.067,1301,0.2778,71,0.0152,884,0.1887,271,0.0579,264,0.0564,203,0.0433
79,7.0,Maribor,6.0,Maribor 2,21254,5200,0.2447,5194,5103,91,1.0,116,0.0227,79,0.0155,72,0.0141,34,0.0067,240,0.047,73,0.0143,842,0.165,388,0.076,1414,0.2771,62,0.0121,983,0.1926,254,0.0498,363,0.0711,183,0.0359
80,7.0,Maribor,7.0,Maribor 3,18958,4355,0.2297,4353,4261,92,1.0,99,0.0232,45,0.0106,59,0.0138,18,0.0042,166,0.039,65,0.0153,571,0.134,249,0.0584,1727,0.4053,59,0.0138,640,0.1502,206,0.0483,217,0.0509,140,0.0329
81,7.0,Maribor,8.0,Maribor 4,14500,4198,0.2895,4196,4137,59,1.0,185,0.0447,37,0.0089,108,0.0261,15,0.0036,131,0.0317,104,0.0251,556,0.1344,262,0.0633,842,0.2035,54,0.0131,947,0.2289,390,0.0943,271,0.0655,235,0.0568
82,7.0,Maribor,9.0,Maribor 5,16643,3891,0.2338,3889,3814,75,1.0,105,0.0275,50,0.0131,85,0.0223,12,0.0031,149,0.0391,58,0.0152,616,0.1615,238,0.0624,884,0.2318,55,0.0144,806,0.2113,320,0.0839,265,0.0695,171,0.0448
83,7.0,Maribor,10.0,Maribor 6,16832,4588,0.2726,4588,4515,73,1.0,135,0.0299,38,0.0084,68,0.0151,20,0.0044,155,0.0343,71,0.0157,795,0.1761,235,0.052,1059,0.2346,71,0.0157,977,0.2164,386,0.0855,286,0.0633,219,0.0485
84,7.0,Maribor,11.0,Maribor 7,15003,3264,0.2176,3264,3195,69,1.0,72,0.0225,53,0.0166,52,0.0163,10,0.0031,129,0.0404,44,0.0138,510,0.1596,182,0.057,714,0.2235,44,0.0138,682,0.2135,298,0.0933,261,0.0817,144,0.0451
85,8.0,Ptuj,,,211554,52004,0.2458,52001,50834,1167,1.0,850,0.0167,454,0.0089,804,0.0158,216,0.0042,2806,0.0552,377,0.0074,5666,0.1115,7321,0.144,15770,0.3102,429,0.0084,10332,0.2032,1943,0.0382,2689,0.0529,1177,0.0232
86,8.0,Ptuj,1.0,Lendava,21743,4823,0.2218,4823,4716,107,1.0,67,0.0142,21,0.0045,76,0.0161,21,0.0045,205,0.0435,26,0.0055,388,0.0823,1615,0.3425,1193,0.253,35,0.0074,668,0.1416,137,0.0291,198,0.042,66,0.014
