,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,DESUS-N,DESUS-%,DOM-N,DOM-%,RESNICA-N,RESNICA-%,SVOBODA-N,SVOBODA-%,ZSI-N,ZSI-%,LEVICA-N,LEVICA-%,LBP-N,LBP-%,LMŠ-N,LMŠ-%,NAŠA_DEŽELA-N,NAŠA_DEŽELA-%,SNP_DD-N,SNP_DD-%,NESTRANKARSKA-N,NESTRANKARSKA-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,POVEŽIMO-N,POVEŽIMO-%,SDS-N,SDS-%,SNS-N,SNS-%,SD-N,SD-%,SAB-N,SAB-%,VESNA-N,VESNA-%,ZLS-N,ZLS-%,ZOS-N,ZOS-%
51,5.0,Celje,2.0,Celje 1,29422,20901,0.7104,20901,20692,209,1.0,1,140,0.0068,35,0.0017,729,0.0352,6684,0.323,,,653,0.0316,68,0.0033,633,0.0306,240,0.0116,428,0.0207,296,0.0143,1198,0.0579,338,0.0163,867,0.0419,5865,0.2834,447,0.0216,1151,0.0556,438,0.0212,293,0.0142,189,0.0091,,
52,5.0,Celje,3.0,Celje 2,21855,14808,0.6776,14808,14693,115,1.0,1,103,0.007,28,0.0019,487,0.0331,5521,0.3758,,,814,0.0554,55,0.0037,448,0.0305,104,0.0071,413,0.0281,240,0.0163,577,0.0393,262,0.0178,518,0.0353,3027,0.206,241,0.0164,982,0.0668,408,0.0278,291,0.0198,174,0.0118,,
53,5.0,Celje,4.0,Žalec 1,18004,13266,0.7368,13266,13151,115,1.0,1,100,0.0076,14,0.0011,374,0.0284,4143,0.315,,,376,0.0286,41,0.0031,333,0.0253,223,0.017,197,0.015,192,0.0146,1399,0.1064,192,0.0146,416,0.0316,3391,0.2579,285,0.0217,750,0.057,377,0.0287,194,0.0148,154,0.0117,,
54,5.0,Celje,5.0,Žalec 2,18630,14238,0.7643,14238,14100,138,1.0,2,103,0.0073,25,0.0018,422,0.0299,4366,0.3096,,,426,0.0302,43,0.003,466,0.033,155,0.011,213,0.0151,205,0.0145,2016,0.143,213,0.0151,295,0.0209,3287,0.2331,237,0.0168,947,0.0672,324,0.023,201,0.0143,156,0.0111,,
55,5.0,Celje,6.0,Mozirje,13700,10177,0.7428,10174,10095,79,1.0,1,57,0.0056,12,0.0012,450,0.0446,2553,0.2529,,,238,0.0236,28,0.0028,276,0.0273,159,0.0158,126,0.0125,158,0.0157,1158,0.1147,112,0.0111,450,0.0446,3249,0.3218,177,0.0175,349,0.0346,145,0.0144,338,0.0335,60,0.0059,,
56,5.0,Celje,7.0,Velenje 1,16320,11030,0.6759,11030,10935,95,1.0,0,61,0.0056,20,0.0018,438,0.0401,3203,0.2929,,,355,0.0325,86,0.0079,257,0.0235,141,0.0129,244,0.0223,160,0.0146,456,0.0417,150,0.0137,211,0.0193,2801,0.2561,170,0.0155,1618,0.148,321,0.0294,182,0.0166,61,0.0056,,
57,5.0,Celje,8.0,Velenje 2,17459,12265,0.7025,12263,12149,114,1.0,1,62,0.0051,20,0.0016,440,0.0362,3016,0.2483,,,366,0.0301,62,0.0051,391,0.0322,237,0.0195,211,0.0174,137,0.0113,784,0.0645,177,0.0146,441,0.0363,3806,0.3133,300,0.0247,1090,0.0897,378,0.0311,154,0.0127,77,0.0063,,
58,5.0,Celje,9.0,Slovenj Gradec,17943,13453,0.7498,13452,13346,106,1.0,1,100,0.0075,17,0.0013,309,0.0232,5100,0.3821,,,465,0.0348,22,0.0016,546,0.0409,288,0.0216,154,0.0115,166,0.0124,707,0.053,209,0.0157,485,0.0363,3338,0.2501,179,0.0134,834,0.0625,266,0.0199,112,0.0084,49,0.0037,,
59,5.0,Celje,10.0,Ravne na Koroškem,20947,15050,0.7185,15047,14896,151,1.0,1,58,0.0039,22,0.0015,356,0.0239,4324,0.2903,,,484,0.0325,35,0.0023,358,0.024,162,0.0109,185,0.0124,130,0.0087,922,0.0619,180,0.0121,214,0.0144,3884,0.2607,218,0.0146,2894,0.1943,302,0.0203,131,0.0088,37,0.0025,,
60,5.0,Celje,11.0,Radlje,20624,14364,0.6965,14362,14216,146,1.0,1,96,0.0068,8,0.0006,410,0.0288,4333,0.3048,,,367,0.0258,39,0.0027,669,0.0471,596,0.0419,231,0.0162,251,0.0177,1010,0.071,182,0.0128,233,0.0164,4030,0.2835,218,0.0153,1104,0.0777,227,0.016,103,0.0072,109,0.0077,,
61,6.0,Novo mesto,,,218504,153736,0.7036,153725,152089,1636,1.0,11,1491,0.0098,243,0.0016,4264,0.028,51652,0.3396,,,5348,0.0352,420,0.0028,5909,0.0389,2289,0.0151,2409,0.0158,3466,0.0228,9891,0.065,1873,0.0123,5774,0.038,37662,0.2476,2683,0.0176,10408,0.0684,3290,0.0216,2054,0.0135,963,0.0063,,
62,6.0,Novo mesto,1.0,Črnomelj,22804,14843,0.6509,14838,14641,197,1.0,0,258,0.0176,15,0.001,328,0.0224,4290,0.293,,,519,0.0354,28,0.0019,614,0.0419,99,0.0068,149,0.0102,1156,0.079,974,0.0665,121,0.0083,371,0.0253,3887,0.2655,173,0.0118,1288,0.088,243,0.0166,87,0.0059,41,0.0028,,
